stand	species	cover	A1	Moisture	Management	Use	Manure
7	Planlanc	5	2.8	1	HF	Pasture	3
7	Poaprat	4	2.8	1	HF	Pasture	3
7	Poatriv	5	2.8	1	HF	Pasture	3
7	Rumeacet	3	2.8	1	HF	Pasture	3
7	Scorautu	3	2.8	1	HF	Pasture	3
7	Trifprat	2	2.8	1	HF	Pasture	3
7	Trifrepe	2	2.8	1	HF	Pasture	3
7	Bracruta	2	2.8	1	HF	Pasture	3
8	Agrostol	4	4.2	5	HF	Pasture	3
8	Alopgeni	5	4.2	5	HF	Pasture	3
8	Eleopalu	4	4.2	5	HF	Pasture	3
8	Juncarti	4	4.2	5	HF	Pasture	3
8	Lolipere	4	4.2	5	HF	Pasture	3
8	Poaprat	4	4.2	5	HF	Pasture	3
8	Poatriv	4	4.2	5	HF	Pasture	3
8	Ranuflam	2	4.2	5	HF	Pasture	3
8	Sagiproc	2	4.2	5	HF	Pasture	3
8	Scorautu	3	4.2	5	HF	Pasture	3
8	Trifrepe	2	4.2	5	HF	Pasture	3
8	Bracruta	2	4.2	5	HF	Pasture	3
9	Agrostol	3	3.7	4	HF	Hayfield	1
9	Alopgeni	3	3.7	4	HF	Hayfield	1
9	Elymrepe	6	3.7	4	HF	Hayfield	1
9	Juncarti	4	3.7	4	HF	Hayfield	1
9	Juncbufo	4	3.7	4	HF	Hayfield	1
9	Lolipere	2	3.7	4	HF	Hayfield	1
9	Poaprat	4	3.7	4	HF	Hayfield	1
9	Poatriv	5	3.7	4	HF	Hayfield	1
9	Rumeacet	2	3.7	4	HF	Hayfield	1
9	Sagiproc	2	3.7	4	HF	Hayfield	1
9	Scorautu	2	3.7	4	HF	Hayfield	1
9	Trifrepe	3	3.7	4	HF	Hayfield	1
9	Bracruta	2	3.7	4	HF	Hayfield	1
10	Achimill	4	3.3	2	BF	Hayfield	1
10	Anthodor	4	3.3	2	BF	Hayfield	1
10	Bellpere	2	3.3	2	BF	Hayfield	1
10	Bromhord	4	3.3	2	BF	Hayfield	1
10	Lolipere	6	3.3	2	BF	Hayfield	1
10	Planlanc	3	3.3	2	BF	Hayfield	1
10	Poaprat	4	3.3	2	BF	Hayfield	1
10	Poatriv	4	3.3	2	BF	Hayfield	1
10	Scorautu	3	3.3	2	BF	Hayfield	1
10	Trifrepe	6	3.3	2	BF	Hayfield	1
10	Vicilath	1	3.3	2	BF	Hayfield	1
10	Bracruta	2	3.3	2	BF	Hayfield	1
11	Hyporadi	2	3.5	1	BF	Pasture	1
11	Lolipere	7	3.5	1	BF	Pasture	1
11	Planlanc	3	3.5	1	BF	Pasture	1
11	Poaprat	4	3.5	1	BF	Pasture	1
11	Sagiproc	2	3.5	1	BF	Pasture	1
11	Scorautu	5	3.5	1	BF	Pasture	1
11	Trifrepe	3	3.5	1	BF	Pasture	1
11	Vicilath	2	3.5	1	BF	Pasture	1
11	Bracruta	4	3.5	1	BF	Pasture	1
12	Agrostol	4	5.8	4	SF	Haypastu	2
12	Alopgeni	8	5.8	4	SF	Haypastu	2
12	Juncbufo	4	5.8	4	SF	Haypastu	2
12	Poatriv	4	5.8	4	SF	Haypastu	2
12	Rumeacet	2	5.8	4	SF	Haypastu	2
12	Sagiproc	4	5.8	4	SF	Haypastu	2
12	Scorautu	2	5.8	4	SF	Haypastu	2
12	Trifrepe	3	5.8	4	SF	Haypastu	2
12	Bracruta	4	5.8	4	SF	Haypastu	2
13	Agrostol	5	6	5	SF	Haypastu	3
13	Alopgeni	5	6	5	SF	Haypastu	3
13	Chenalbu	1	6	5	SF	Haypastu	3
13	Juncbufo	3	6	5	SF	Haypastu	3
13	Poaprat	2	6	5	SF	Haypastu	3
13	Poatriv	9	6	5	SF	Haypastu	3
13	Ranuflam	2	6	5	SF	Haypastu	3
13	Sagiproc	2	6	5	SF	Haypastu	3
13	Scorautu	2	6	5	SF	Haypastu	3
13	Trifrepe	2	6	5	SF	Haypastu	3
14	Agrostol	4	9.3	5	NM	Pasture	0
14	Comapalu	2	9.3	5	NM	Pasture	0
14	Eleopalu	4	9.3	5	NM	Pasture	0
14	Ranuflam	2	9.3	5	NM	Pasture	0
14	Scorautu	2	9.3	5	NM	Pasture	0
14	Trifrepe	6	9.3	5	NM	Pasture	0
14	Callcusp	4	9.3	5	NM	Pasture	0
15	Agrostol	4	11.5	5	NM	Haypastu	0
15	Comapalu	2	11.5	5	NM	Haypastu	0
15	Eleopalu	5	11.5	5	NM	Haypastu	0
15	Juncarti	3	11.5	5	NM	Haypastu	0
15	Ranuflam	2	11.5	5	NM	Haypastu	0
15	Scorautu	2	11.5	5	NM	Haypastu	0
15	Trifrepe	1	11.5	5	NM	Haypastu	0
15	Bracruta	4	11.5	5	NM	Haypastu	0
16	Agrostol	7	5.7	5	SF	Pasture	3
16	Alopgeni	4	5.7	5	SF	Pasture	3
16	Eleopalu	8	5.7	5	SF	Pasture	3
16	Juncarti	3	5.7	5	SF	Pasture	3
16	Poatriv	2	5.7	5	SF	Pasture	3
16	Ranuflam	2	5.7	5	SF	Pasture	3
16	Bracruta	4	5.7	5	SF	Pasture	3
16	Callcusp	3	5.7	5	SF	Pasture	3
17	Achimill	2	4	2	NM	Hayfield	0
17	Airaprae	2	4	2	NM	Hayfield	0
17	Anthodor	4	4	2	NM	Hayfield	0
17	Hyporadi	2	4	2	NM	Hayfield	0
17	Planlanc	2	4	2	NM	Hayfield	0
17	Poaprat	1	4	2	NM	Hayfield	0
17	Scorautu	2	4	2	NM	Hayfield	0
18	Bellpere	2	4.6	1	NM	Hayfield	0
18	Lolipere	2	4.6	1	NM	Hayfield	0
18	Planlanc	3	4.6	1	NM	Hayfield	0
18	Poaprat	3	4.6	1	NM	Hayfield	0
18	Salirepe	3	4.6	1	NM	Hayfield	0
18	Scorautu	5	4.6	1	NM	Hayfield	0
18	Trifrepe	2	4.6	1	NM	Hayfield	0
18	Vicilath	1	4.6	1	NM	Hayfield	0
18	Bracruta	6	4.6	1	NM	Hayfield	0
19	Airaprae	3	3.7	5	NM	Hayfield	0
19	Anthodor	4	3.7	5	NM	Hayfield	0
19	Empenigr	2	3.7	5	NM	Hayfield	0
19	Hyporadi	5	3.7	5	NM	Hayfield	0
19	Sagiproc	3	3.7	5	NM	Hayfield	0
19	Salirepe	3	3.7	5	NM	Hayfield	0
19	Scorautu	6	3.7	5	NM	Hayfield	0
19	Trifrepe	2	3.7	5	NM	Hayfield	0
19	Bracruta	3	3.7	5	NM	Hayfield	0
20	Agrostol	5	3.5	5	NM	Hayfield	0
20	Eleopalu	4	3.5	5	NM	Hayfield	0
20	Juncarti	4	3.5	5	NM	Hayfield	0
20	Ranuflam	4	3.5	5	NM	Hayfield	0
20	Salirepe	5	3.5	5	NM	Hayfield	0
20	Scorautu	2	3.5	5	NM	Hayfield	0
20	Bracruta	4	3.5	5	NM	Hayfield	0
20	Callcusp	3	3.5	5	NM	Hayfield	0
